post_id,date,month,weekday,hour,topic,text,label,sentiment_score,followers,likes,retweets,comments,engagement_total
94,2025-01-13,1,0,15,Food,Can we talk about hotpot? review,neutral,0.22,569,155,61,40,256
95,2025-06-23,6,0,10,Finance,Can we talk about funds? rally,positive,0.73,500,114,46,25,185
96,2025-01-09,1,3,15,Social,Anyone else think health is report?,neutral,0.17,58,10,3,0,13
97,2025-03-11,3,1,21,Entertainment,concert is really waste of time,negative,-0.63,1982,497,100,127,724
98,2025-02-06,2,3,18,Food,Can we talk about hotpot? fresh,positive,0.97,1848,422,80,92,594
99,2025-05-18,5,6,14,Food,Can we talk about hotpot? wait time,neutral,-0.29,1107,50,12,11,73
100,2025-06-08,6,6,13,Social,Can we talk about education? analysis,neutral,-0.02,685,182,59,50,291
101,2025-01-12,1,6,9,Social,My thoughts on environment: difficult,negative,-0.92,64,18,3,3,24
102,2025-06-28,6,5,10,Technology,My thoughts on internet: buggy,negative,-0.53,472,134,35,31,200
103,2025-03-13,3,3,13,Food,My thoughts on dessert: wait time,neutral,0.26,552,10,2,1,13
104,2025-06-15,6,6,9,Food,Anyone else think boba tea is hidden gem?,positive,0.93,220,25,6,2,33
105,2025-06-02,6,0,10,Food,Just experienced street food - price!,neutral,0.09,794,231,27,30,288
106,2025-03-01,3,5,6,Finance,"funds today, and it was wealth",positive,0.45,2460,258,41,70,369
107,2025-01-29,1,2,13,Entertainment,Marvel is really rating,neutral,0.18,47684,9618,1060,516,11194
108,2025-05-15,5,3,17,Social,Can we talk about health? progress,positive,0.82,1554,66,8,10,84
109,2025-06-18,6,2,7,Social,"pension today, and it was hopeful",positive,0.33,1835,295,83,85,463
110,2025-04-24,4,3,8,Food,My thoughts on street food: menu,neutral,-0.01,944,29,3,5,37
111,2025-06-02,6,0,9,Technology,"Tesla today, and it was buggy",negative,-0.73,23,3,0,0,3
112,2025-02-25,2,1,20,Finance,Anyone else think economy is wealth?,positive,0.8,1039,139,63,21,223
113,2025-04-06,4,6,8,Entertainment,Can we talk about anime? rating,neutral,0.1,1237,354,132,59,545
114,2025-05-23,5,4,9,Finance,Just experienced economy - bullish!,positive,0.87,151218,4142,1999,788,6929
115,2025-06-03,6,1,10,Entertainment,My thoughts on Netflix: release,neutral,0.28,746,75,10,13,98
116,2025-03-13,3,3,23,Social,Just experienced transport - hopeful!,positive,0.56,2004,353,149,92,594
117,2025-06-29,6,6,11,Technology,Anyone else think 5G is review?,neutral,-0.19,1023,236,110,32,378
118,2025-01-08,1,2,20,Food,My thoughts on hotpot: bad service,negative,-0.48,105,3,0,0,3
119,2025-01-14,1,1,8,Entertainment,Anyone else think game is incredible?,positive,0.72,10782,594,238,37,869
120,2025-02-25,2,1,15,Entertainment,My thoughts on Marvel: box office,neutral,-0.05,4933,1129,164,177,1470
121,2025-06-03,6,1,10,Social,"environment today, and it was stressful",negative,-0.85,5335,138,25,39,202
122,2025-02-14,2,4,23,Finance,Just experienced stocks - breakthrough!,positive,0.82,177,8,2,0,10
123,2025-04-28,4,0,18,Finance,Just experienced crypto - market!,neutral,-0.04,18134,5025,2235,974,8234
124,2025-02-13,2,3,17,Finance,Just experienced crypto - crash!,negative,-0.32,66,15,5,3,23
125,2025-01-21,1,1,16,Technology,phone is really update,neutral,-0.06,3546,442,99,59,600
126,2025-03-31,3,0,10,Finance,Anyone else think stocks is wealth?,positive,0.66,87632,9798,4735,2070,16603
127,2025-06-17,6,1,20,Technology,Xiaomi is really exciting,positive,0.41,151,4,1,0,5
128,2025-06-09,6,0,20,Finance,My thoughts on economy: forecast,neutral,0.09,353,36,17,4,57
129,2025-04-01,4,1,7,Technology,Can we talk about self-driving? buggy,negative,-0.59,1338,210,47,34,291
130,2025-05-10,5,5,7,Entertainment,Anyone else think Netflix is amazing?,positive,0.73,400,48,15,13,76
131,2025-05-09,5,4,16,Entertainment,Anyone else think concert is rating?,neutral,0.06,49,2,0,0,2
132,2025-04-23,4,2,17,Food,Anyone else think BBQ is delicious?,positive,0.47,1257,373,115,75,563
133,2025-01-14,1,1,9,Entertainment,My thoughts on Netflix: masterpiece,positive,0.78,131,31,11,2,44
134,2025-06-19,6,3,18,Social,Can we talk about housing? support,positive,0.36,2827,144,34,42,220
135,2025-03-26,3,2,22,Technology,Just experienced 5G - update!,neutral,-0.07,174,42,15,10,67
136,2025-02-16,2,6,12,Technology,"chip today, and it was review",neutral,-0.08,24339,6957,1646,1680,10283
137,2025-05-19,5,0,16,Technology,Just experienced 5G - amazing!,positive,0.66,228,57,25,3,85
138,2025-06-27,6,4,20,Food,"coffee today, and it was bad service",negative,-0.89,575,134,56,12,202
139,2025-04-25,4,4,21,Technology,Anyone else think AI is breakthrough?,positive,0.73,5580,434,84,126,644
140,2025-03-14,3,4,11,Food,Anyone else think dessert is fresh?,positive,0.62,93,21,6,3,30
141,2025-04-06,4,6,9,Finance,bitcoin is really market,neutral,0.08,1728,295,41,77,413
142,2025-04-22,4,1,17,Entertainment,Can we talk about anime? premiere,neutral,-0.21,14977,548,254,139,941
143,2025-01-21,1,1,16,Food,My thoughts on dessert: disappointing,negative,-0.83,44,5,0,1,6
144,2025-05-01,5,3,14,Finance,Can we talk about crypto? rally,positive,0.83,1586,222,22,15,259
145,2025-03-15,3,5,20,Technology,Anyone else think robot is exciting?,positive,0.6,1844,145,21,15,181
146,2025-05-12,5,0,6,Technology,My thoughts on robot: update,neutral,-0.29,5237,925,358,113,1396
147,2025-04-03,4,3,22,Social,My thoughts on housing: improvement,positive,0.67,92,2,0,0,2
148,2025-03-06,3,3,13,Social,My thoughts on health: positive,positive,0.99,78,17,4,1,22
149,2025-04-01,4,1,20,Finance,"economy today, and it was bearish",negative,-0.91,3114,524,222,49,795
150,2025-04-28,4,0,7,Food,BBQ is really overpriced,negative,-0.5,1986,41,7,10,58
151,2025-01-10,1,4,7,Entertainment,My thoughts on Netflix: incredible,positive,0.63,1809,413,72,57,542
152,2025-04-23,4,2,21,Food,Just experienced boba tea - fresh!,positive,0.92,2192,590,150,173,913
153,2025-01-21,1,1,15,Social,"environment today, and it was improvement",positive,0.81,281,37,18,3,58
154,2025-04-20,4,6,17,Entertainment,Anyone else think game is masterpiece?,positive,0.61,1744,101,28,16,145
155,2025-04-14,4,0,6,Social,Anyone else think health is stressful?,negative,-0.53,1970,227,95,49,371
156,2025-06-15,6,6,10,Technology,My thoughts on Huawei: overpriced,negative,-0.95,262,30,7,5,42
157,2025-05-16,5,4,9,Social,Can we talk about work-life? discussion,neutral,0.04,45777,5329,1203,637,7169
158,2025-03-08,3,5,21,Technology,"phone today, and it was exciting",positive,0.38,2828,605,112,122,839
159,2025-04-24,4,3,16,Technology,Just experienced internet - great!,positive,0.93,101,30,12,8,50
160,2025-06-29,6,6,9,Social,"environment today, and it was report",neutral,0.21,4076,794,331,140,1265
161,2025-05-27,5,1,8,Food,coffee is really menu,neutral,-0.08,156,18,7,3,28
162,2025-04-15,4,1,8,Technology,Anyone else think GPT is breakthrough?,positive,0.67,5293,1316,170,385,1871
163,2025-02-16,2,6,7,Entertainment,Can we talk about concert? premiere,neutral,0.08,11127,2588,392,454,3434
164,2025-02-27,2,3,8,Finance,Can we talk about funds? loss,negative,-0.77,212,23,10,6,39
165,2025-06-07,6,5,10,Entertainment,"game today, and it was boring",negative,-0.56,7530,1240,373,114,1727
166,2025-01-08,1,2,14,Technology,"chip today, and it was overhyped",negative,-0.97,2503,83,39,20,142
167,2025-05-20,5,1,18,Social,My thoughts on health: data,neutral,0.23,5676,533,257,91,881
168,2025-04-29,4,1,16,Entertainment,Just experienced concert - must-watch!,positive,0.59,48707,3368,1154,431,4953
169,2025-01-28,1,1,13,Finance,My thoughts on funds: portfolio,neutral,0.01,671,68,19,7,94
170,2025-02-10,2,0,12,Technology,My thoughts on robot: breakthrough,positive,0.47,242,59,27,13,99
171,2025-05-08,5,3,13,Finance,"crypto today, and it was recession",negative,-0.38,185,3,1,0,4
172,2025-06-17,6,1,9,Technology,Just experienced 5G - breakthrough!,positive,0.72,214,43,9,2,54
173,2025-04-13,4,6,15,Entertainment,Anyone else think game is box office?,neutral,-0.08,939,23,7,3,33
174,2025-01-31,1,4,16,Technology,"5G today, and it was overhyped",negative,-0.52,2169,102,14,14,130
175,2025-05-09,5,4,21,Social,pension is really hopeful,positive,0.66,1907,41,4,9,54
176,2025-03-23,3,6,15,Social,"housing today, and it was support",positive,0.95,5735,327,162,76,565
177,2025-01-05,1,6,15,Social,"work-life today, and it was anxious",negative,-0.79,1125,131,48,38,217
178,2025-03-09,3,6,13,Finance,Anyone else think economy is market?,neutral,0.06,20071,5829,2408,1422,9659
179,2025-04-08,4,1,9,Finance,investment is really volatile,negative,-0.46,645,34,12,1,47
180,2025-04-16,4,2,7,Technology,My thoughts on Xiaomi: poor quality,negative,-0.52,252796,39316,13547,6601,59464
181,2025-03-22,3,5,23,Finance,"bitcoin today, and it was recession",negative,-0.63,3832,1101,312,201,1614
182,2025-02-19,2,2,15,Entertainment,Anyone else think Disney is rating?,neutral,0.07,197,56,11,6,73
183,2025-03-31,3,0,15,Finance,Anyone else think economy is analysis?,neutral,-0.11,128,22,10,5,37
184,2025-02-07,2,4,17,Technology,My thoughts on phone: launch,neutral,0.27,2878,271,58,61,390
185,2025-05-18,5,6,9,Food,Anyone else think coffee is price?,neutral,-0.18,701,62,20,7,89
186,2025-03-01,3,5,9,Social,health is really anxious,negative,-0.84,4573,115,30,26,171
187,2025-05-02,5,4,16,Social,"housing today, and it was positive",positive,0.76,2825,419,75,121,615
188,2025-01-10,1,4,11,Entertainment,Just experienced Disney - incredible!,positive,0.46,947,260,44,70,374
189,2025-03-16,3,6,9,Food,My thoughts on coffee: must-try,positive,0.96,201,53,5,10,68
190,2025-02-04,2,1,9,Food,My thoughts on street food: hidden gem,positive,0.67,53,13,3,1,17
191,2025-03-28,3,4,11,Entertainment,Anyone else think game is trailer?,neutral,-0.29,448,107,35,25,167
192,2025-04-13,4,6,16,Social,My thoughts on inflation: anxious,negative,-0.77,6080,1240,215,105,1560
193,2025-03-26,3,2,17,Food,My thoughts on BBQ: fresh,positive,0.83,1682,164,63,8,235
194,2025-06-25,6,2,15,Social,Just experienced work-life - support!,positive,0.41,90,14,6,3,23
195,2025-02-04,2,1,17,Social,Can we talk about transport? anxious,negative,-0.85,1550,230,64,68,362
196,2025-06-24,6,1,20,Entertainment,My thoughts on Netflix: boring,negative,-0.47,2369,542,243,38,823
197,2025-05-10,5,5,22,Social,"education today, and it was improvement",positive,0.88,187,12,3,1,16
198,2025-05-11,5,6,19,Entertainment,Anyone else think Marvel is box office?,neutral,-0.25,1491,207,25,17,249
199,2025-04-12,4,5,8,Entertainment,My thoughts on Disney: masterpiece,positive,0.81,1232,103,10,10,123
200,2025-01-18,1,5,11,Technology,Just experienced Tesla - amazing!,positive,0.95,111,32,9,3,44
201,2025-04-08,4,1,8,Finance,Anyone else think economy is analysis?,neutral,-0.08,2243,314,146,45,505
202,2025-05-18,5,6,6,Social,"housing today, and it was report",neutral,-0.23,3366,417,62,122,601
203,2025-04-08,4,1,14,Finance,My thoughts on economy: forecast,neutral,-0.05,9567,2380,473,324,3177
204,2025-01-05,1,6,20,Technology,Just experienced Huawei - features!,neutral,-0.05,9023,719,91,142,952
205,2025-03-01,3,5,10,Social,Just experienced pension - discussion!,neutral,-0.06,69,11,4,2,17
206,2025-06-22,6,6,22,Social,Anyone else think transport is hopeful?,positive,0.72,168,41,7,11,59
207,2025-02-14,2,4,17,Technology,Just experienced Tesla - exciting!,positive,0.92,3071,588,159,102,849
208,2025-03-18,3,1,13,Food,"boba tea today, and it was wait time",neutral,-0.06,3064,365,146,61,572
209,2025-04-17,4,3,12,Entertainment,My thoughts on movie: premiere,neutral,-0.05,3072,527,80,58,665
210,2025-02-18,2,1,7,Entertainment,My thoughts on Netflix: masterpiece,positive,0.36,2435013,60742,15238,12223,88203
211,2025-02-23,2,6,6,Food,"street food today, and it was hidden gem",positive,0.45,3435,900,209,260,1369
212,2025-05-03,5,5,18,Technology,Anyone else think Apple is leading?,positive,1.0,10626,2924,1106,660,4690
213,2025-04-02,4,2,20,Food,Can we talk about coffee? not fresh,negative,-0.63,7390,734,178,198,1110
214,2025-04-05,4,5,10,Technology,My thoughts on self-driving: launch,neutral,0.25,4035,406,48,108,562
215,2025-02-20,2,3,21,Technology,"robot today, and it was poor quality",negative,-0.79,583,61,15,15,91
216,2025-06-14,6,5,17,Social,Can we talk about environment? data,neutral,0.28,5003,1123,319,261,1703
217,2025-01-16,1,3,7,Technology,My thoughts on Xiaomi: update,neutral,0.29,233,37,16,2,55
218,2025-01-03,1,4,21,Finance,Anyone else think funds is crash?,negative,-0.5,682,50,14,3,67
219,2025-03-12,3,2,19,Social,"inflation today, and it was improvement",positive,0.31,415,68,14,11,93
220,2025-02-19,2,2,18,Finance,Just experienced stocks - forecast!,neutral,-0.21,1291,244,49,33,326
221,2025-02-27,2,3,7,Technology,My thoughts on robot: specs,neutral,0.29,112343,10896,4698,764,16358
222,2025-06-29,6,6,16,Technology,"internet today, and it was amazing",positive,0.75,26,1,0,0,1
223,2025-06-27,6,4,8,Social,Just experienced health - analysis!,neutral,-0.17,4326,1156,335,71,1562
224,2025-03-22,3,5,18,Social,"health today, and it was progress",positive,0.95,43,0,0,0,0
225,2025-04-10,4,3,10,Food,"BBQ today, and it was hidden gem",positive,0.88,426,87,27,12,126
226,2025-04-22,4,1,18,Finance,Just experienced investment - portfolio!,neutral,-0.27,9680,748,97,150,995
227,2025-04-02,4,2,18,Food,Anyone else think boba tea is fresh?,positive,0.64,1247,212,53,20,285
228,2025-02-09,2,6,18,Technology,GPT is really disappointing,negative,-0.94,127,15,6,1,22
229,2025-03-11,3,1,23,Entertainment,Just experienced game - must-watch!,positive,0.55,262,10,1,1,12
230,2025-06-02,6,0,15,Social,Just experienced education - expensive!,negative,-0.61,4269,783,179,114,1076
231,2025-02-13,2,3,14,Entertainment,Anyone else think Marvel is trailer?,neutral,0.04,254,53,8,6,67
232,2025-01-20,1,0,21,Entertainment,My thoughts on game: must-watch,positive,0.51,1690,193,92,44,329
233,2025-04-12,4,5,16,Social,Just experienced housing - support!,positive,0.3,1201,127,44,31,202
234,2025-06-04,6,2,18,Entertainment,Anyone else think Marvel is boring?,negative,-0.79,297,84,15,10,109
235,2025-03-04,3,1,17,Food,Anyone else think street food is fresh?,positive,0.98,79848,8344,1769,2056,12169
236,2025-05-21,5,2,12,Technology,"Tesla today, and it was overpriced",negative,-0.52,3896,69,26,19,114
237,2025-02-05,2,2,19,Entertainment,Anyone else think movie is must-watch?,positive,0.77,19,3,0,0,3
238,2025-05-10,5,5,7,Finance,"crypto today, and it was wealth",positive,0.58,1592,442,197,68,707
239,2025-03-05,3,2,7,Finance,"investment today, and it was profit",positive,0.38,291,58,14,12,84
240,2025-04-21,4,0,22,Social,Anyone else think inflation is expensive?,negative,-0.32,6032,245,34,25,304
241,2025-06-23,6,0,6,Social,work-life is really report,neutral,-0.07,224,40,12,5,57
242,2025-03-29,3,5,21,Entertainment,Just experienced movie - classic!,positive,0.54,871,123,22,20,165
243,2025-01-30,1,3,11,Technology,My thoughts on chip: review,neutral,-0.12,3010,49,11,3,63
244,2025-05-24,5,5,11,Food,"BBQ today, and it was review",neutral,-0.2,6195,827,235,206,1268
245,2025-02-20,2,3,12,Technology,My thoughts on Huawei: features,neutral,0.07,99,13,3,0,16
246,2025-05-18,5,6,14,Technology,Just experienced robot - review!,neutral,0.18,561,36,8,5,49
247,2025-04-11,4,4,11,Social,Anyone else think transport is anxious?,negative,-0.73,424,76,18,19,113
248,2025-02-04,2,1,17,Finance,Can we talk about investment? forecast,neutral,-0.25,296,29,5,2,36
249,2025-02-17,2,0,11,Social,My thoughts on housing: anxious,negative,-0.73,37455,5660,1782,1583,9025
250,2025-06-08,6,6,10,Social,housing is really expensive,negative,-0.41,2465,62,15,3,80
251,2025-06-25,6,2,11,Technology,"Tesla today, and it was leading",positive,0.65,88,13,4,2,19
252,2025-05-18,5,6,21,Technology,5G is really amazing,positive,0.49,6875,644,265,123,1032
253,2025-04-04,4,4,20,Social,Just experienced environment - hopeful!,positive,0.88,76443,12780,5146,3067,20993
254,2025-01-09,1,3,20,Social,Just experienced pension - report!,neutral,0.22,8646,1214,290,308,1812
255,2025-06-06,6,4,12,Food,BBQ is really hidden gem,positive,0.78,52,10,1,0,11
256,2025-05-18,5,6,14,Finance,"bitcoin today, and it was forecast",neutral,-0.13,416,24,11,2,37
257,2025-04-16,4,2,10,Food,Anyone else think hotpot is bad service?,negative,-0.33,13819,3820,1898,1019,6737
258,2025-06-23,6,0,19,Finance,economy is really bullish,positive,0.88,266,32,5,6,43
259,2025-06-27,6,4,16,Entertainment,Just experienced anime - incredible!,positive,0.82,2664,750,185,215,1150
260,2025-06-28,6,5,12,Social,Anyone else think education is data?,neutral,0.08,5162,587,73,107,767
261,2025-03-28,3,4,16,Food,My thoughts on boba tea: location,neutral,0.2,171,28,4,7,39
262,2025-02-10,2,0,12,Food,Just experienced hotpot - wait time!,neutral,-0.29,973,134,13,38,185
263,2025-03-12,3,2,11,Food,Anyone else think boba tea is price?,neutral,0.22,1,0,0,0,0
264,2025-01-24,1,4,10,Technology,Anyone else think GPT is overpriced?,negative,-0.7,141,30,3,5,38
265,2025-01-31,1,4,8,Social,My thoughts on health: stressful,negative,-0.51,661,196,52,16,264
266,2025-03-18,3,1,10,Technology,Just experienced Apple - innovative!,positive,0.56,90,4,1,0,5
267,2025-04-23,4,2,19,Social,Just experienced health - survey!,neutral,0.09,28704,3210,594,760,4564
268,2025-02-01,2,5,16,Social,education is really stressful,negative,-0.9,62,11,2,3,16
269,2025-06-03,6,1,6,Finance,Anyone else think stocks is rally?,positive,0.69,454,99,21,28,148
270,2025-02-18,2,1,13,Finance,Can we talk about funds? forecast,neutral,0.06,1424,323,70,20,413
271,2025-01-04,1,5,19,Entertainment,My thoughts on Disney: incredible,positive,0.35,19585,5800,2746,481,9027
272,2025-01-18,1,5,18,Entertainment,My thoughts on Netflix: release,neutral,-0.29,62,0,0,0,0
273,2025-01-22,1,2,8,Social,"inflation today, and it was difficult",negative,-0.51,11229,2198,692,193,3083
274,2025-04-11,4,4,8,Entertainment,Netflix is really boring,negative,-0.62,1119,201,81,42,324
